itemId,name,jobRestriction,slot,requiredLevel,requiredSTR,requiredDEX,requiredINT,requiredLUK,strBonus,dexBonus,intBonus,lukBonus,attackPower,magicPower,accuracy,avoidability,physicalDefense,magicDefense,criticalRate,moveSpeed,attackSpeed,buyPrice,sellPrice,description
NOGADA_GLOVE,노가다 목장갑,,GLOVE,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,140,42,막일 현장에서 흔히 쓰이는 목장갑. 의외로 손에 잘 맞아 초보 모험가들이 애용한다.
TEST_HAT,갈샛 삿갓,,HAT,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,120,36,낡았지만 넓은 챙이 햇빛을 가려주는 삿갓. 아무에게나 어울리는 수수한 디자인이다.
TEST_TOP,지장의,,TOP,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,180,54,지장 보살의 이름을 딴 얇은 도포. 가볍고 활동하기 편해 초보 모험가들이 즐겨 입는다.
TEST_SHOES,흰색 고무신,,SHOES,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,130,39,하얗고 단순한 고무신. 가볍고 발에 잘 맞아 오래 걸어도 피로감이 덜하다.
TEST_PANTS,백진일갑주 바지,,PANTS,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,160,48,백색 천에 얇은 갑옷 판을 덧댄 바지. 가볍지만 기본적인 방어는 갖추고 있다.
TEST_BOW,사냥꾼의 활,,WEAPON,1,0,5,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,360,108,마을 사냥꾼에게서 얻은 기본 활. 나무 재질이지만 탄성이 좋아 초보 궁수에게 잘 맞는다.
WAR_HAT_001,낡은 철 투구,WARRIOR,HAT,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,120,36,녹슨 철판을 두드려 만든 오래된 투구. 가장자리는 닳았지만 초보 전사의 머리를 지키기에는 충분하다.
WAR_HAT_002,견습 기사 투구,WARRIOR,HAT,5,15,5,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,360,108,기사단 훈련병에게 지급되는 가벼운 투구. 시야를 넓게 남겨 첫 전투의 긴장을 덜어준다.
WAR_HAT_003,청동 투구,WARRIOR,HAT,10,30,10,0,0,6,3,0,0,0,0,2,0,0,0,0,0,0,840,252,청동을 주조해 만든 표준 병사용 투구. 투박하지만 균형이 좋아 오래 착용해도 부담이 적다.
WAR_HAT_004,강철 투구,WARRIOR,HAT,15,45,15,0,0,8,4,0,0,0,0,3,0,0,0,0,0,0,1680,504,강철판을 겹쳐 보강한 전투용 투구. 돌진하는 적과 맞서는 전사들이 즐겨 착용한다.
WAR_HAT_005,기사단 투구,WARRIOR,HAT,20,60,20,0,0,10,5,0,0,0,0,5,0,0,0,0,0,0,3000,900,왕국 기사단의 문장이 새겨진 투구. 전장에 선 정규 기사들의 긍지를 상징한다.
WAR_TOP_001,낡은 갑옷 상의,WARRIOR,ONEPIECE,1,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,180,54,곳곳에 흠집이 남은 낡은 갑옷 상의. 오래된 전투의 흔적이 그대로 남아 있다.
WAR_TOP_002,견습 기사 갑옷,WARRIOR,ONEPIECE,5,15,5,0,0,4,2,0,0,0,0,0,0,6,0,0,0,0,540,162,훈련용으로 제작된 기사 갑옷. 움직임을 방해하지 않도록 가볍게 만들어졌다.
WAR_TOP_003,청동 플레이트,WARRIOR,ONEPIECE,10,30,10,0,0,6,3,0,0,0,0,0,0,10,0,0,0,0,1260,378,청동판을 이어 붙인 플레이트 갑옷. 기본 방호력과 착용감을 고르게 갖췄다.
WAR_TOP_004,강철 플레이트,WARRIOR,ONEPIECE,15,45,15,0,0,8,4,0,0,0,0,0,0,15,0,0,0,0,2520,756,강철로 만든 묵직한 흉갑. 정면에서 오는 공격을 받아내기 위해 제작되었다.
WAR_TOP_005,기사단 플레이트,WARRIOR,ONEPIECE,20,60,20,0,0,10,5,0,0,0,0,0,0,22,0,0,0,0,4500,1350,기사단 정예병에게 지급되는 플레이트. 여러 차례의 전투를 견딜 수 있도록 정교하게 보강되었다.
WAR_BOTTOM_001,낡은 갑옷 하의,WARRIOR,BOTTOM,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,160,48,무릎 부분이 해진 갑옷 하의. 낡았지만 이동과 방어의 균형은 아직 남아 있다.
WAR_BOTTOM_002,견습 기사 바지,WARRIOR,BOTTOM,5,15,5,0,0,3,2,0,0,0,0,0,0,5,0,0,0,0,480,144,훈련병들이 착용하는 전투 바지. 갑옷을 처음 입는 사람도 쉽게 움직일 수 있다.
WAR_BOTTOM_003,청동 레깅스,WARRIOR,BOTTOM,10,30,10,0,0,5,3,0,0,0,0,0,0,8,0,0,0,0,1120,336,청동 보호판이 덧대어진 레깅스. 하체를 보호하면서도 보폭을 크게 유지할 수 있다.
WAR_BOTTOM_004,강철 레깅스,WARRIOR,BOTTOM,15,45,15,0,0,7,4,0,0,0,0,0,0,12,0,0,0,0,2240,672,강철 보호대가 붙은 레깅스. 무겁지만 전열에서 버티는 전사에게 잘 어울린다.
WAR_BOTTOM_005,기사단 레깅스,WARRIOR,BOTTOM,20,60,20,0,0,9,5,0,0,0,0,0,0,18,0,0,0,0,4000,1200,기사단 제식 하의. 긴 행군과 치열한 백병전을 모두 견디도록 제작되었다.
WAR_GLOVE_001,노가다 목장갑,WARRIOR,GLOVE,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,140,42,막일 현장에서 흔히 쓰이는 목장갑. 의외로 손에 잘 맞아 초보 모험가들이 애용한다.
